query_id,query,query_type,document_identifier,expected_section_path,relevance_grade,annotator,adjudication_status,notes
LAR-021,election result gazette deadline forty two days,exact_legal_terminology,07_elections-special-provisions-act-21-of-2023.pdf,5,1,codex-source-pass-1;codex-source-pass-2,adjudicated,Parliamentary-election provision is also relevant
LAR-021,election result gazette deadline forty two days,exact_legal_terminology,07_elections-special-provisions-act-21-of-2023.pdf,7,1,codex-source-pass-1;codex-source-pass-2,adjudicated,Presidential-election provision is also relevant
LAR-021,election result gazette deadline forty two days,exact_legal_terminology,07_elections-special-provisions-act-21-of-2023.pdf,9,1,codex-source-pass-1;codex-source-pass-2,adjudicated,Provincial-council provision is also relevant
LAR-022,Which provision increases fines in Local Authorities elections?,relationship_amendment_intent,07_elections-special-provisions-act-21-of-2023.pdf,2,2,codex-source-pass-1,agreed,First Schedule substitutions increase fines
LAR-023,Civil Procedure Code Amendment Act No. 29 of 2023,exact_act_identifier,08_civil-procedure-code-amendment-act-29-of-2023.pdf,1,2,codex-source-pass-1,agreed,Short-title section
LAR-024,When must the court fix the pre-trial conference date?,paraphrased_legal_concept,08_civil-procedure-code-amendment-act-29-of-2023.pdf,5,2,codex-source-pass-1,agreed,Replacement Chapter XA contains section 79A timing
LAR-025,pre-trial steps before the pre-trial conference,exact_legal_terminology,08_civil-procedure-code-amendment-act-29-of-2023.pdf,6,2,codex-source-pass-1;codex-source-pass-2,agreed,Insertion of Chapter XB and section 79B
LAR-026,Code of Criminal Procedure Amendment Act No. 2 of 2022,exact_act_identifier,09_code-of-criminal-procedure-amendment-act-2-of-2022.pdf,1,2,codex-source-pass-1,agreed,Short-title section
LAR-027,Where was new section 195A inserted into criminal procedure law?,relationship_amendment_intent,09_code-of-criminal-procedure-amendment-act-2-of-2022.pdf,3,2,codex-source-pass-1,agreed,Insertion of section 195A
LAR-028,High Court pre trial conference after indictment,paraphrased_legal_concept,09_code-of-criminal-procedure-amendment-act-2-of-2022.pdf,3,2,codex-source-pass-1,agreed,Inserted section 195A governs the conference
LAR-029,Right to Information Act No. 12 of 2016,exact_act_identifier,10_right-to-information-act-12-of-2016.pdf,1,2,codex-source-pass-1,agreed,Short-title section
LAR-030,How does a citizen request information from a public authority?,paraphrased_legal_concept,10_right-to-information-act-12-of-2016.pdf,24,2,codex-source-pass-1;codex-source-pass-2,agreed,Procedure for obtaining information
LAR-031,Where do I appeal after an information request is refused?,ambiguous_plain_language,10_right-to-information-act-12-of-2016.pdf,32,2,codex-source-pass-1,agreed,Appeals to the Commission
LAR-032,duty to disclose information,exact_legal_terminology,10_right-to-information-act-12-of-2016.pdf,35,2,codex-source-pass-1,agreed,Duty of officers to disclose
LAR-033,Banking Special Provisions Act No. 17 of 2023,exact_act_identifier,11_banking-special-provisions-act-17-of-2023.pdf,1,2,codex-source-pass-1,agreed,Short-title section
LAR-034,What plan must a licensed bank prepare if its financial position deteriorates?,paraphrased_legal_concept,11_banking-special-provisions-act-17-of-2023.pdf,9,2,codex-source-pass-1,agreed,Licensed-bank recovery plan
LAR-035,Central Bank resolution plan for a systemically important bank,exact_legal_terminology,11_banking-special-provisions-act-17-of-2023.pdf,11,2,codex-source-pass-1;codex-source-pass-2,agreed,Resolution-plan duty
LAR-036,Proceeds of Crime Act No. 5 of 2025,exact_act_identifier,12_proceeds-of-crime-act-5-of-2025.pdf,1,2,codex-source-pass-1,agreed,Short-title section
LAR-037,Is hiding the source or ownership of criminal property an offence?,paraphrased_legal_concept,12_proceeds-of-crime-act-5-of-2025.pdf,6,2,codex-source-pass-1,agreed,Concealment or disguising proceeds of crime
LAR-038,false claim to prevent judicial freezing,exact_legal_terminology,12_proceeds-of-crime-act-5-of-2025.pdf,12,2,codex-source-pass-1,agreed,False claim concerning judicial freezing
LAR-039,cooling-off period for returning a defective refrigerator,difficult_negative,10_right-to-information-act-12-of-2016.pdf,,0,codex-source-pass-1;codex-source-pass-2,agreed,No relevant provision in the 12-Act corpus
LAR-040,maritime salvage reward for rescuing cargo,difficult_negative,12_proceeds-of-crime-act-5-of-2025.pdf,,0,codex-source-pass-1,agreed,No relevant provision in the 12-Act corpus
